kategorie,alter,bildung,sex,2023,2021,2019
Erhalt von betrügerischen Nachrichten (Phishing) (innerhalb 12 Monaten),15-29,tertiaerstufe,F,101559.0,76169.0,79493.0
Erhalt von betrügerischen Nachrichten (Phishing) (innerhalb 12 Monaten),15-29,oblig_schulbild_<25,F,182517.0,171603.0,148461.0
Erhalt von betrügerischen Nachrichten (Phishing) (innerhalb 12 Monaten),30-59,ohne_nachoblig_schulbild_>25,F,79470.0,52508.0,
Erhalt von betrügerischen Nachrichten (Phishing) (innerhalb 12 Monaten),30-59,sekundarstufe_3,F,302378.0,298437.0,316213.0
Erhalt von betrügerischen Nachrichten (Phishing) (innerhalb 12 Monaten),30-59,tertiaerstufe,F,601452.0,463403.0,380042.0
Erhalt von betrügerischen Nachrichten (Phishing) (innerhalb 12 Monaten),60>,sekundarstufe_4,F,164395.0,136991.0,135301.0
Erhalt von betrügerischen Nachrichten (Phishing) (innerhalb 12 Monaten),60>,tertiaerstufe,F,132511.0,132195.0,75579.0
Nutzung von Sicherheitssoftware (Smartphone),15-29,sekundarstufe_2,M,67632.0,90873.0,
Nutzung von Sicherheitssoftware (Smartphone),15-29,tertiaerstufe,M,87321.0,67810.0,74343.0
Nutzung von Sicherheitssoftware (Smartphone),15-29,oblig_schulbild_<25,M,247964.0,261207.0,233169.0
Nutzung von Sicherheitssoftware (Smartphone),30-59,ohne_nachoblig_schulbild_>25,M,129600.0,141863.0,120552.0
Nutzung von Sicherheitssoftware (Smartphone),30-59,sekundarstufe_3,M,381803.0,307958.0,384788.0
Nutzung von Sicherheitssoftware (Smartphone),30-59,tertiaerstufe,M,742418.0,654340.0,523738.0
Nutzung von Sicherheitssoftware (Smartphone),60>,ohne_nachoblig_schulbild_>25,M,74540.0,,47960.0
Nutzung von Sicherheitssoftware (Smartphone),60>,sekundarstufe_4,M,178808.0,191867.0,154265.0
Nutzung von Sicherheitssoftware (Smartphone),60>,tertiaerstufe,M,347660.0,240771.0,173752.0
Nutzung von Sicherheitssoftware (Smartphone),15-29,tertiaerstufe,F,58777.0,,89435.0
Nutzung von Sicherheitssoftware (Smartphone),15-29,oblig_schulbild_<25,F,219466.0,202186.0,197532.0
Nutzung von Sicherheitssoftware (Smartphone),30-59,ohne_nachoblig_schulbild_>25,F,145517.0,131122.0,117859.0
Nutzung von Sicherheitssoftware (Smartphone),30-59,sekundarstufe_3,F,448657.0,385017.0,419964.0
Nutzung von Sicherheitssoftware (Smartphone),30-59,tertiaerstufe,F,572124.0,516406.0,408991.0
Nutzung von Sicherheitssoftware (Smartphone),60>,ohne_nachoblig_schulbild_>25,F,88857.0,62150.0,46074.0
Nutzung von Sicherheitssoftware (Smartphone),60>,sekundarstufe_4,F,272369.0,205100.0,187559.0
Nutzung von Sicherheitssoftware (Smartphone),60>,tertiaerstufe,F,164888.0,170324.0,85106.0
Datenschutzbedingungen lesen,15-29,oblig_schulbild_<25,M,133948.0,164507.0,
Datenschutzbedingungen lesen,30-59,ohne_nachoblig_schulbild_>25,M,103900.0,113928.0,
Datenschutzbedingungen lesen,30-59,sekundarstufe_3,M,293306.0,223338.0,
Datenschutzbedingungen lesen,30-59,tertiaerstufe,M,423548.0,463197.0,
Datenschutzbedingungen lesen,60>,sekundarstufe_4,M,160440.0,161521.0,
Datenschutzbedingungen lesen,60>,tertiaerstufe,M,258730.0,225278.0,
Datenschutzbedingungen lesen,15-29,oblig_schulbild_<25,F,131237.0,122639.0,
Datenschutzbedingungen lesen,30-59,ohne_nachoblig_schulbild_>25,F,98771.0,120778.0,
Datenschutzbedingungen lesen,30-59,sekundarstufe_3,F,359031.0,341023.0,
Datenschutzbedingungen lesen,30-59,tertiaerstufe,F,395478.0,427617.0,
Datenschutzbedingungen lesen,60>,sekundarstufe_4,F,218618.0,195979.0,
Datenschutzbedingungen lesen,60>,tertiaerstufe,F,138362.0,171809.0,
Datenschutzbedingungen lesen,15-29,sekundarstufe_2,M,79830.0,96133.0,
Datenschutzbedingungen lesen,15-29,tertiaerstufe,M,128293.0,92795.0,
Datenschutzbedingungen lesen,15-29,oblig_schulbild_<25,M,287612.0,295317.0,
Datenschutzbedingungen lesen,30-59,ohne_nachoblig_schulbild_>25,M,119117.0,130450.0,
Datenschutzbedingungen lesen,30-59,sekundarstufe_3,M,410577.0,321373.0,
Datenschutzbedingungen lesen,30-59,tertiaerstufe,M,784246.0,823452.0,
Datenschutzbedingungen lesen,60>,sekundarstufe_4,M,162652.0,166207.0,
Datenschutzbedingungen lesen,60>,tertiaerstufe,M,318778.0,242738.0,
Datenschutzbedingungen lesen,15-29,sekundarstufe_2,F,74830.0,82933.0,
Datenschutzbedingungen lesen,15-29,tertiaerstufe,F,131298.0,95930.0,
Datenschutzbedingungen lesen,15-29,oblig_schulbild_<25,F,320942.0,311863.0,
Datenschutzbedingungen lesen,30-59,ohne_nachoblig_schulbild_>25,F,131882.0,129377.0,
Datenschutzbedingungen lesen,30-59,sekundarstufe_3,F,447076.0,445615.0,
Datenschutzbedingungen lesen,30-59,tertiaerstufe,F,729381.0,663838.0,
Datenschutzbedingungen lesen,60>,sekundarstufe_4,F,236771.0,180260.0,
Datenschutzbedingungen lesen,60>,tertiaerstufe,F,172513.0,177446.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),15-29,sekundarstufe_2,M,70834.0,88692.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),15-29,tertiaerstufe,M,94938.0,62553.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),15-29,oblig_schulbild_<25,M,245791.0,236305.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),30-59,ohne_nachoblig_schulbild_>25,M,105418.0,108206.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),30-59,sekundarstufe_3,M,343606.0,254176.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),30-59,tertiaerstufe,M,640151.0,653393.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),60>,sekundarstufe_4,M,137359.0,158507.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),60>,tertiaerstufe,M,267186.0,193926.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),15-29,sekundarstufe_2,F,68067.0,70399.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),15-29,tertiaerstufe,F,110053.0,67037.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),15-29,oblig_schulbild_<25,F,245666.0,284039.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),30-59,ohne_nachoblig_schulbild_>25,F,83542.0,115084.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),30-59,sekundarstufe_3,F,407193.0,400491.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),30-59,tertiaerstufe,F,584889.0,579170.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),60>,sekundarstufe_4,F,193203.0,159010.0,
Beschränkung des Zugangs zu Profilen/Inhalten (Social Media oder Cloud),60>,tertiaerstufe,F,150033.0,133828.0,
Verweigerung Personendaten für Werbezwecke,15-29,sekundarstufe_2,M,85483.0,91510.0,
Verweigerung Personendaten für Werbezwecke,15-29,tertiaerstufe,M,115656.0,92718.0,
Verweigerung Personendaten für Werbezwecke,15-29,oblig_schulbild_<25,M,280376.0,279673.0,
Verweigerung Personendaten für Werbezwecke,30-59,ohne_nachoblig_schulbild_>25,M,122819.0,145706.0,
Verweigerung Personendaten für Werbezwecke,30-59,sekundarstufe_3,M,443109.0,362517.0,
Verweigerung Personendaten für Werbezwecke,30-59,tertiaerstufe,M,865215.0,847948.0,
Verweigerung Personendaten für Werbezwecke,60>,sekundarstufe_4,M,194418.0,193005.0,
Verweigerung Personendaten für Werbezwecke,60>,tertiaerstufe,M,392081.0,315957.0,
Verweigerung Personendaten für Werbezwecke,15-29,sekundarstufe_2,F,83401.0,79449.0,
Verweigerung Personendaten für Werbezwecke,15-29,tertiaerstufe,F,102275.0,80755.0,
Verweigerung Personendaten für Werbezwecke,15-29,oblig_schulbild_<25,F,284182.0,274013.0,
Verweigerung Personendaten für Werbezwecke,30-59,ohne_nachoblig_schulbild_>25,F,125759.0,149710.0,
Verweigerung Personendaten für Werbezwecke,30-59,sekundarstufe_3,F,507188.0,516978.0,
Verweigerung Personendaten für Werbezwecke,30-59,tertiaerstufe,F,740058.0,682734.0,
Verweigerung Personendaten für Werbezwecke,60>,sekundarstufe_4,F,283813.0,220939.0,
Verweigerung Personendaten für Werbezwecke,60>,tertiaerstufe,F,197847.0,194299.0,
Sicherheit von Websites kontrollieren,15-29,sekundarstufe_2,M,67019.0,88181.0,
Sicherheit von Websites kontrollieren,15-29,tertiaerstufe,M,95588.0,73088.0,
Sicherheit von Websites kontrollieren,15-29,oblig_schulbild_<25,M,234364.0,261025.0,
Sicherheit von Websites kontrollieren,30-59,ohne_nachoblig_schulbild_>25,M,125430.0,130943.0,
Sicherheit von Websites kontrollieren,30-59,sekundarstufe_3,M,352496.0,288355.0,
Sicherheit von Websites kontrollieren,30-59,tertiaerstufe,M,564623.0,652242.0,
Sicherheit von Websites kontrollieren,60>,sekundarstufe_4,M,168711.0,172741.0,
Sicherheit von Websites kontrollieren,60>,tertiaerstufe,M,296183.0,222363.0,
Sicherheit von Websites kontrollieren,15-29,sekundarstufe_2,F,57479.0,69002.0,
Sicherheit von Websites kontrollieren,15-29,tertiaerstufe,F,71168.0,50959.0,
Sicherheit von Websites kontrollieren,15-29,oblig_schulbild_<25,F,200474.0,215166.0,
Sicherheit von Websites kontrollieren,30-59,ohne_nachoblig_schulbild_>25,F,136664.0,124682.0,
Sicherheit von Websites kontrollieren,30-59,sekundarstufe_3,F,352108.0,385255.0,
Sicherheit von Websites kontrollieren,30-59,tertiaerstufe,F,457572.0,450407.0,
Sicherheit von Websites kontrollieren,60>,sekundarstufe_4,F,218012.0,163982.0,
Sicherheit von Websites kontrollieren,60>,tertiaerstufe,F,144931.0,142938.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",15-29,oblig_schulbild_<25,M,129760.0,121245.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",30-59,ohne_nachoblig_schulbild_>25,M,74672.0,72927.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",30-59,sekundarstufe_3,M,178598.0,127412.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",30-59,tertiaerstufe,M,304312.0,226747.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",60>,sekundarstufe_4,M,52603.0,83257.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",60>,tertiaerstufe,M,104987.0,73551.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",15-29,oblig_schulbild_<25,F,103660.0,117208.0,
"Antrag auf Zugang, um sie zu aktualisieren oder zu löschen",30-59,ohne_nachoblig_schulbild_>25,F,55103.0,73047.0,
