delikt;straftaten;"aufgklaerte_strafdaten
";aufklaerungsrate;tot_opfer;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70+;s.n.;mann;frau;divers;o.A.
Phishing;1210;90;7.4%;856;0;4;6;18;49;52;67;66;142;146;105;97;0;387;365;104;0
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem;324;16;4.9%;231;0;2;8;2;14;12;16;17;34;22;15;10;0;83;69;79;0
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten;653;93;14.2%;430;1;4;14;12;28;37;30;40;76;64;28;18;0;174;178;78;0
Malware – Ransomware;340;3;0.9%;211;0;0;0;0;2;2;3;6;12;9;9;1;0;32;12;167;0
Malware – E-Banking Trojaner;82;10;12.2%;68;0;0;0;0;1;2;2;3;7;11;10;13;0;30;19;19;0
Malware – Spyware;25;2;8.0%;23;0;0;0;0;1;0;0;2;5;1;2;0;0;6;5;12;0
Malware – Rogueware/Scareware;61;2;3.3%;34;0;0;0;0;1;0;0;2;1;7;8;13;0;19;13;2;0
Malware – Botnet;13;0;0.0%;10;0;0;0;0;1;0;1;0;1;3;0;1;0;4;3;3;0
DDoS;32;0;0.0%;22;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;19;0
Cyberbetrug;20691;6468;31.3%;15998;3;43;302;408;1276;1371;1485;1486;2798;2488;1548;1412;8;8444;6184;1370;0
Money/Package Mules;2113;1217;57.6%;1063;0;3;13;33;90;93;106;120;195;161;102;66;21;571;429;60;3
Sextortion (money);1031;38;3.7%;775;0;5;40;53;142;108;83;53;115;89;44;40;0;670;102;3;0
Diebstahl von Kryptowährungen;96;1;1.0%;65;0;0;1;2;6;9;10;4;15;11;4;3;0;59;6;0;0
Verbotene Pornografie;2243;2150;95.9%;129;10;62;24;5;10;6;3;3;1;3;1;0;0;34;94;1;0
Grooming;141;120;85.1%;69;4;42;23;0;0;0;0;0;0;0;0;0;0;16;53;0;0
Sextortion (sex);153;86;56.2%;109;0;31;27;14;12;8;5;0;7;1;1;1;1;28;80;1;0
Live Streaming;35;34;97.1%;10;4;3;2;1;0;0;0;0;0;0;0;0;0;5;5;0;0
Cybersquatting;37;1;2.7%;35;0;0;0;0;2;1;1;3;8;3;2;1;0;8;13;14;0
Cyber-Rufschädigung (Geschäftlich);107;76;71.0%;114;0;1;0;0;4;6;6;7;24;16;8;2;0;46;28;40;0
Cyberbullying/Cybermobbing;959;642;66.9%;804;2;29;32;34;125;87;80;71;141;111;44;23;3;319;462;22;1
Illegaler Handel im Darknet;1;1;100.0%;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Data leaking;4;1;25.0%;4;0;0;0;0;2;0;0;1;0;0;0;0;0;3;0;1;0
