delikt;straftaten;aufgeklaerte_straftaten;aufklaerungsrate
Fortdauernde Belästigung im Wege der Telekommunikation oder eines Computersystems;395;299;75.70%
Widerrechtlicher Zugriff auf ein Computersystem;952;165;17.33%
Verletzung des Telekommunikationsgeheimnisses;14;11;78.57%
Missbräuchliches Abfangen von Daten;58;4;6.90%
Datenbeschädigung;354;64;18.08%
Störung der Funktionsfähigkeit eines Computersystems;95;12;12.63%
Missbrauch von Computerprogrammen oder Zugangsdaten;540;46;8.52%
Betrügerischer Datenverarbeitungsmissbrauch;12701;2182;17.18%
Datenfälschung;375;112;29.87%
